,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,2440895.5999999996,2354028.0999999996,167800.5,99562.5
1,2018-12-02,92708.75,71809.5,28.4,2258027.2,2165318.45,167801.5,95992.0
2,2018-12-03,96971.75,63622.25,28.0,2226224.0,2129252.25,167801.5,104179.25
3,2018-12-04,98099.5,60531.0,17.5,1391390.0,1293290.5,167801.5,107270.5
4,2018-12-05,90492.25,58917.25,19.2,1526553.6,1436061.35,167801.5,108884.25
5,2018-12-06,86169.25,58052.25,23.1,1836634.7999999998,1750465.5499999998,167801.5,109749.25
6,2018-12-07,86568.0,56718.5,13.4,1065407.2,978839.2,167801.5,111083.0
7,2018-12-08,80473.0,56425.75,12.5,993849.9999999999,913376.9999999999,167801.5,111375.75
8,2018-12-09,77873.0,56749.75,22.0,1749175.9999999998,1671302.9999999998,167801.5,111051.75
9,2018-12-10,90045.5,59963.75,28.9,2297781.1999999997,2207735.6999999997,167801.5,107837.75
10,2018-12-11,91503.25,61133.0,26.9,2138765.2,2047261.9500000002,167801.5,106668.5
11,2018-12-12,91400.0,61864.0,30.3,2409092.4000000004,2317692.4000000004,167801.5,105937.5
12,2018-12-13,92642.0,62083.0,25.6,2035404.7999999998,1942762.7999999998,167801.5,105718.5
13,2018-12-14,97003.5,62790.25,21.7,1725323.6,1628320.1,167801.5,105011.25
14,2018-12-15,89952.25,61096.75,23.9,1900241.2000000002,1810288.9500000002,167801.5,106704.75
15,2018-12-16,87906.5,58551.25,0.5,39754.0,-48152.5,58552.25,1.0
16,2018-12-17,94128.0,62123.25,18.8,1494750.4,1400622.4,167801.5,105678.25
17,2018-12-18,95329.5,64158.5,22.1,1757126.8,1661797.3,167801.5,103643.0
18,2018-12-19,98136.25,64608.75,27.0,2146716.0,2048579.75,167801.5,103192.75
19,2018-12-20,100899.0,67143.5,31.2,2480649.5999999996,2379750.5999999996,167801.5,100658.0
20,2018-12-21,106394.25,65788.0,29.8,2369338.4,2262944.15,167801.5,102013.5
21,2018-12-22,94985.0,59747.25,20.9,1661717.2,1566732.2,167801.5,108054.25
22,2018-12-23,77794.25,57811.25,28.1,2234174.8,2156380.55,167801.5,109990.25
23,2018-12-24,80218.0,53704.25,25.7,2043355.6,1963137.6,167801.5,114097.25
24,2018-12-25,69640.25,51908.0,26.4,2099011.2,2029370.9500000002,167801.5,115893.5
25,2018-12-26,71656.25,55788.75,29.5,2345486.0,2273829.75,167801.5,112012.75
26,2018-12-27,81049.75,58629.5,29.7,2361387.6,2280337.85,167801.5,109172.0
27,2018-12-28,83314.25,58633.0,28.6,2273928.8,2190614.55,167801.5,109168.5
28,2018-12-29,80233.5,59632.75,29.8,2369338.4,2289104.9,167801.5,108168.75
29,2018-12-30,82141.0,59751.0,27.9,2218273.2,2136132.2,167801.5,108050.5
30,2018-12-31,86378.75,59647.5,28.4,2258027.2,2171648.45,167801.5,108154.0
