solar-exposure,storage
30,47089880.0
10,52019600.0
0,56360700.0
20,47674930.0
40,40026400.0
50,37671900.0
60,37671900.0
70,25998200.0
90,18864540.0
80,23559230.0
100,13142870.0
110,10061980.0
120,9475140.0
130,6086870.0
140,4538910.0
150,3228110.0
160,2225240.0
170,1460950.0
180,917980.0
190,527170.0
200,247280.0
210,217360.0
220,202530.0
240,200890.0
230,201160.0
250,200610.0
260,200330.0
270,200050.0
280,199770.0
290,199490.0
300,199220.0
310,198940.0
320,198660.0
330,198380.0
340,198110.0
350,197830.0
370,197280.0
360,197550.0
380,196990.0
390,196710.0
400,196430.0
410,196160.0
420,195880.0
430,195600.0
440,195330.0
450,195050.0
460,194770.0
470,194490.0
480,194210.0
490,193930.0
500,193650.0
510,193380.0
520,193100.0
530,192820.0
540,192550.0
550,192270.0
560,191990.0
570,191710.0
580,191430.0
590,191150.0
600,190870.0
610,190600.0
620,190320.0
630,190040.0
650,189480.0
640,189770.0
660,189210.0
670,188930.0
680,188650.0
690,188370.0
700,188090.0
710,187820.0
720,187540.0
730,187260.0
740,186990.0
750,186710.0
760,186430.0
770,186150.0
780,185870.0
790,185590.0
800,185320.0
820,184760.0
810,185040.0
830,184480.0
840,184210.0
850,183930.0
860,183650.0
870,183370.0
880,183090.0
890,182810.0
900,182540.0
920,181980.0
910,182260.0
930,181700.0
940,181430.0
950,181150.0
960,180870.0
970,180590.0
990,180030.0
980,180310.0
1000,179760.0
1010,179480.0
1020,179200.0
1030,178920.0
1040,178650.0
1050,178370.0
1060,178090.0
1070,177810.0
1090,177250.0
1080,177530.0
1110,176700.0
1100,176980.0
1120,176420.0
1130,176150.0
1140,175870.0
1150,175590.0
1170,175030.0
1160,175310.0
1180,174750.0
1190,174470.0
1200,174200.0
1210,173920.0
1220,173640.0
1230,173370.0
1240,173080.0
1250,172810.0
1260,172530.0
1270,172250.0
1280,171970.0
1290,171690.0
1300,171420.0
1310,171140.0
1320,170860.0
1330,170590.0
1340,170300.0
1350,170030.0
1360,169750.0
1370,169470.0
1380,169190.0
1390,168910.0
1400,168640.0
1410,168360.0
1420,168080.0
1430,167810.0
1440,167520.0
1450,167250.0
1460,166970.0
1470,166690.0
1480,166410.0
1490,166130.0
1500,165860.0
