solar-exposure,storage
3,55056900
2,55484999
0,56360927
1,55920129
4,54617189
6,53749412
7,53348809
5,54184489
8,52908011
10,52026416
9,52467214
11,51585618
14,50345874
15,49911963
12,51147117
13,50713207
16,49418363
19,48169435
18,48543656
17,48977566
22,46874592
20,47675835
23,46440681
21,47241925
24,46002180
26,45120585
25,45561383
27,44679787
30,43403310
29,43837220
31,42969399
28,44238989
33,42101579
34,41667669
32,42530898
35,41226871
36,40786073
37,40345276
38,39904478
39,39463680
40,39022882
41,38582085
42,38141287
43,37700489
46,36460745
44,37261988
45,36828078
47,35974032
50,34725104
48,35588333
49,35092437
51,34229207
52,33843508
54,32989463
53,33356796
55,32556951
56,32117051
57,31676254
58,31235456
59,30794658
61,29913063
60,30353860
62,29472265
63,29031467
65,28168237
66,27727439
67,27295826
64,28592068
68,26863063
69,26460146
70,26019349
71,25578551
72,25137753
73,24701259
74,24269933
75,23852094
77,23011247
76,23411296
78,22548067
79,22143427
81,21242891
80,21703204
82,20839975
83,20399177
84,19958379
85,19539965
86,19104334
87,18672720
90,17368693
88,18231922
89,17795715
91,16950854
92,16521534
94,15660602
93,16083033
95,15219804
97,14365758
96,14790198
98,13934145
99,13507122
100,13109657
102,12418178
101,12763131
103,12091333
104,11764488
105,11437644
106,11110799
107,10783955
108,10457110
109,10131175
110,9832690
111,9583005
112,9337177
113,9111308
114,8885439
115,8668489
116,8468178
117,8271904
118,8075631
119,7885041
120,7701556
122,7351855
121,7518404
123,7192167
124,7032478
125,6872789
126,6713100
127,6553411
128,6396462
130,6086870
129,6241666
131,5932074
132,5777278
133,5622482
134,5467686
135,5312890
136,5158094
137,5003298
138,4848502
139,4693706
140,4538910
142,4231059
141,4384904
143,4081834
144,3950866
145,3828929
146,3706993
147,3585057
148,3463120
149,3344469
150,3228105
151,3112440
152,2996775
153,2881110
155,2667536
154,2771008
156,2565863
157,2480706
158,2395549
159,2310392
160,2225235
161,2140078
162,2054921
163,1969764
164,1884607
165,1799450
166,1719223
167,1651054
168,1586197
169,1521340
170,1460950
171,1401803
172,1342656
173,1283508
174,1224746
175,1167369
176,1110612
177,1053856
178,999188
179,957059
180,917978
182,839815
181,878897
183,800734
186,683490
184,761653
185,722572
187,644409
188,605328
189,566247
190,527165
191,488084
192,449003
193,409922
194,374281
195,353114
196,331947
198,289613
199,268446
197,310780
201,237218
200,247279
202,235011
203,232804
204,230596
205,228389
206,226182
207,223975
208,221767
209,219560
210,217353
211,215145
212,212938
213,210731
214,208523
215,206671
216,205843
217,205014
218,204186
219,203357
220,202529
221,201701
222,201383
223,201356
224,201328
225,201300
226,201272
227,201244
228,201217
229,201189
230,201161
232,201105
231,201133
233,201078
234,201050
235,201022
236,200994
237,200966
238,200939
239,200911
240,200883
241,200855
242,200827
243,200800
244,200772
245,200744
246,200716
247,200688
248,200661
249,200633
250,200605
252,200549
251,200577
253,200522
254,200494
255,200466
256,200438
257,200410
258,200383
259,200355
260,200327
261,200299
262,200271
263,200244
264,200216
265,200188
266,200160
267,200132
268,200105
269,200077
271,200021
270,200049
272,199993
273,199966
274,199938
275,199910
276,199882
277,199854
279,199799
278,199827
280,199771
281,199743
282,199715
284,199660
283,199688
285,199632
286,199604
287,199576
288,199549
289,199521
290,199493
291,199465
292,199437
293,199410
294,199382
295,199354
296,199326
298,199271
297,199298
299,199243
300,199215
302,199159
301,199187
303,199132
304,199104
306,199048
305,199076
307,199020
308,198993
310,198937
309,198965
311,198909
312,198881
314,198826
313,198854
315,198798
316,198770
317,198742
318,198715
319,198687
320,198659
321,198631
322,198603
323,198576
324,198548
325,198520
326,198492
327,198464
328,198437
329,198409
330,198381
331,198353
333,198298
332,198325
334,198270
335,198242
336,198214
337,198186
338,198159
339,198131
341,198075
340,198103
342,198047
343,198020
344,197992
345,197964
346,197936
347,197908
348,197881
349,197853
350,197825
351,197797
352,197769
353,197742
356,197658
354,197714
355,197686
357,197630
359,197575
358,197603
360,197547
361,197519
362,197491
363,197464
364,197436
365,197408
366,197380
367,197352
368,197325
369,197297
370,197269
372,197213
371,197241
373,197186
374,197158
375,197130
376,197102
377,197074
378,197047
379,197019
380,196991
381,196963
383,196908
382,196935
384,196880
385,196852
387,196796
386,196824
388,196769
389,196741
390,196713
391,196685
392,196657
393,196630
394,196602
395,196574
396,196546
397,196518
399,196463
398,196491
400,196435
410,196157
420,195879
430,195601
440,195323
450,195045
460,194767
470,194489
480,194211
490,193933
500,193655
510,193377
520,193099
530,192821
540,192543
550,192265
560,191987
570,191709
590,191153
580,191431
600,190875
610,190597
620,190319
630,190041
640,189763
650,189485
660,189207
670,188929
680,188651
690,188373
700,188095
710,187817
730,187261
720,187539
740,186983
750,186705
760,186427
770,186149
790,185593
780,185871
800,185315
810,185037
830,184481
820,184759
840,184203
850,183925
860,183647
870,183369
880,183091
890,182813
900,182535
930,181701
920,181979
910,182257
940,181423
960,180867
950,181145
970,180589
980,180311
990,180033
1000,179755
1010,179477
1020,179199
1040,178643
1030,178921
1050,178365
1070,177809
1060,178087
1080,177531
1090,177253
1100,176975
1110,176697
1120,176419
1130,176141
1140,175863
1170,175029
1150,175585
1160,175307
1180,174751
1200,174195
1190,174473
1210,173917
1230,173361
1220,173639
1240,173083
1250,172805
1260,172527
1270,172249
1280,171971
1290,171693
1310,171137
1300,171415
1320,170859
1330,170581
1350,170025
1340,170303
1360,169747
1370,169469
1380,169191
1410,168357
1390,168913
1400,168635
1440,167523
1420,168079
1430,167801
1450,167245
1460,166967
1470,166689
1480,166411
1490,166133
1500,165855
