C,NEMP.WORLD,LFCST_HISTDEMAND,AEMO,PUBLIC,2019/04/24,02:00:00,0000000307082275,,0000000307082274
I,DEMAND,HISTORIC,1,REGIONID,SETTLEMENTDATE,PERIODID,DEMAND
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",1,7010
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",2,6895
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",3,6710
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",4,6510
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",5,6249
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",6,6058
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",7,5949
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",8,5917
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",9,5896
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",10,5990
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",11,6167
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",12,6369
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",13,6772
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",14,7146
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",15,7402
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",16,7620
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",17,7797
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",18,7863
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",19,7939
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",20,7969
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",21,7996
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",22,7927
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",23,7900
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",24,7878
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",25,7894
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",26,7945
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",27,7972
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",28,7970
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",29,7990
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",30,8021
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",31,8101
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",32,8226
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",33,8319
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",34,8423
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",35,8529
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",36,8856
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",37,8836
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",38,8666
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",39,8416
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",40,8249
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",41,8096
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",42,7921
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",43,7726
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",44,7584
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",45,7606
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",46,7455
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",47,7395
D,DEMAND,HISTORIC,1,NSW1,"2019/04/23 00:00:00",48,7361
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",1,5523
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",2,5433
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",3,5321
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",4,5268
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",5,5253
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",6,5207
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",7,5223
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",8,5220
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",9,5261
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",10,5354
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",11,5516
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",12,5679
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",13,5958
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",14,6264
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",15,6520
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",16,6600
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",17,6627
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",18,6617
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",19,6610
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",20,6507
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",21,6475
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",22,6411
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",23,6424
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",24,6458
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",25,6446
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",26,6342
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",27,6373
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",28,6474
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",29,6530
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",30,6651
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",31,6756
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",32,6871
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",33,6983
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",34,7125
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",35,7256
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",36,7397
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",37,7250
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",38,7296
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",39,7177
D,DEMAND,HISTORIC,1,QLD1,"2019/04/23 00:00:00",40,7056
