,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,1706920.0,1620052.5,172882.50244140625,104644.50244140625
1,2018-12-02,92708.75,71809.5,28.4,1579040.0,1486331.25,180143.91931152344,108334.41931152344
2,2018-12-03,96971.75,63622.25,28.0,1556800.0,1459828.25,180143.91931152344,116521.66931152344
3,2018-12-04,98099.5,60531.0,17.5,972999.9999999999,874900.4999999999,180143.91931152344,119612.91931152344
4,2018-12-05,90492.25,58917.25,19.2,1067520.0,977027.75,180143.91931152344,121226.66931152344
5,2018-12-06,86169.25,58052.25,23.1,1284360.0,1198190.75,180143.91931152344,122091.66931152344
6,2018-12-07,86568.0,56718.5,13.4,745040.0,658472.0,180143.91931152344,123425.41931152344
7,2018-12-08,80473.0,56425.75,12.5,695000.0,614527.0,180143.91931152344,123718.16931152344
8,2018-12-09,77873.0,56749.75,22.0,1223200.0,1145327.0,180143.91931152344,123394.16931152344
9,2018-12-10,90045.5,59963.75,28.9,1606840.0,1516794.5,180143.91931152344,120180.16931152344
10,2018-12-11,91503.25,61133.0,26.9,1495640.0,1404136.75,180143.91931152344,119010.91931152344
11,2018-12-12,91400.0,61864.0,30.3,1684680.0,1593280.0,180143.91931152344,118279.91931152344
12,2018-12-13,92642.0,62083.0,25.6,1423360.0,1330718.0,180143.91931152344,118060.91931152344
13,2018-12-14,97003.5,62790.25,21.7,1206520.0,1109516.5,180143.91931152344,117353.66931152344
14,2018-12-15,89952.25,61096.75,23.9,1328840.0,1238887.75,180143.91931152344,119047.16931152344
15,2018-12-16,87906.5,58551.25,0.5,27799.999999999996,-60106.5,58940.66931152344,389.4193115234375
16,2018-12-17,94128.0,62123.25,18.8,1045279.9999999999,951151.9999999999,180143.91931152344,118020.66931152344
17,2018-12-18,95329.5,64158.5,22.1,1228760.0,1133430.5,180143.91931152344,115985.41931152344
18,2018-12-19,98136.25,64608.75,27.0,1501200.0,1403063.75,180143.91931152344,115535.16931152344
19,2018-12-20,100899.0,67143.5,31.2,1734719.9999999998,1633820.9999999998,180143.91931152344,113000.41931152344
20,2018-12-21,106394.25,65788.0,29.8,1656880.0,1550485.75,180143.91931152344,114355.91931152344
21,2018-12-22,94985.0,59747.25,20.9,1162040.0,1067055.0,180143.91931152344,120396.66931152344
22,2018-12-23,77794.25,57811.25,28.1,1562360.0,1484565.75,180143.91931152344,122332.66931152344
23,2018-12-24,80218.0,53704.25,25.7,1428920.0,1348702.0,180143.91931152344,126439.66931152344
24,2018-12-25,69640.25,51908.0,26.4,1467840.0,1398199.75,180143.91931152344,128235.91931152344
25,2018-12-26,71656.25,55788.75,29.5,1640200.0,1568543.75,180143.91931152344,124355.16931152344
26,2018-12-27,81049.75,58629.5,29.7,1651320.0,1570270.25,180143.91931152344,121514.41931152344
27,2018-12-28,83314.25,58633.0,28.6,1590160.0,1506845.75,180143.91931152344,121510.91931152344
28,2018-12-29,80233.5,59632.75,29.8,1656880.0,1576646.5,180143.91931152344,120511.16931152344
29,2018-12-30,82141.0,59751.0,27.9,1551240.0,1469099.0,180143.91931152344,120392.91931152344
30,2018-12-31,86378.75,59647.5,28.4,1579040.0,1492661.25,180143.91931152344,120496.41931152344
31,2019-01-01,81552.25,59093.75,30.3,1684680.0,1603127.75,180143.91931152344,121050.16931152344
32,2019-01-02,89217.25,61073.25,28.3,1573480.0,1484262.75,180143.91931152344,119070.66931152344
