,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,86867.5,68238.0,30.7,938805.9999999999,851938.4999999999,192284.1006412506,124046.10064125061
1,2018-12-02,92708.75,71809.5,28.4,868471.9999999999,775763.2499999999,192284.1006412506,120474.60064125061
2,2018-12-03,96971.75,63622.25,28.0,856239.9999999999,759268.2499999999,192284.1006412506,128661.85064125061
3,2018-12-04,98099.5,60531.0,17.5,535150.0,437050.5,192284.1006412506,131753.1006412506
4,2018-12-05,90492.25,58917.25,19.2,587136.0,496643.75,192284.1006412506,133366.8506412506
5,2018-12-06,86169.25,58052.25,23.1,706398.0,620228.75,192284.1006412506,134231.8506412506
6,2018-12-07,86568.0,56718.5,13.4,409772.0,323204.0,192284.1006412506,135565.6006412506
7,2018-12-08,80473.0,56425.75,12.5,382250.0,301777.0,192284.1006412506,135858.3506412506
8,2018-12-09,77873.0,56749.75,22.0,672760.0,594887.0,192284.1006412506,135534.3506412506
9,2018-12-10,90045.5,59963.75,28.9,883761.9999999999,793716.4999999999,192284.1006412506,132320.3506412506
10,2018-12-11,91503.25,61133.0,26.9,822602.0,731098.75,192284.1006412506,131151.1006412506
11,2018-12-12,91400.0,61864.0,30.3,926573.9999999999,835173.9999999999,192284.1006412506,130420.10064125061
12,2018-12-13,92642.0,62083.0,25.6,782848.0,690206.0,192284.1006412506,130201.10064125061
13,2018-12-14,97003.5,62790.25,21.7,663586.0,566582.5,192284.1006412506,129493.85064125061
14,2018-12-15,89952.25,61096.75,23.9,730862.0,640909.75,192284.1006412506,131187.3506412506
15,2018-12-16,87906.5,58551.25,0.5,15289.999999999998,-72616.5,58570.85064125061,19.60064125061035
16,2018-12-17,94128.0,62123.25,18.8,574904.0,480776.0,192284.1006412506,130160.85064125061
17,2018-12-18,95329.5,64158.5,22.1,675818.0,580488.5,192284.1006412506,128125.60064125061
18,2018-12-19,98136.25,64608.75,27.0,825660.0,727523.75,192284.1006412506,127675.35064125061
19,2018-12-20,100899.0,67143.5,31.2,954095.9999999999,853196.9999999999,192284.1006412506,125140.60064125061
20,2018-12-21,106394.25,65788.0,29.8,911283.9999999999,804889.7499999999,192284.1006412506,126496.10064125061
21,2018-12-22,94985.0,59747.25,20.9,639122.0,544137.0,192284.1006412506,132536.8506412506
22,2018-12-23,77794.25,57811.25,28.1,859297.9999999999,781503.7499999999,192284.1006412506,134472.8506412506
23,2018-12-24,80218.0,53704.25,25.7,785906.0,705688.0,192284.1006412506,138579.8506412506
24,2018-12-25,69640.25,51908.0,26.4,807312.0,737671.75,192284.1006412506,140376.1006412506
25,2018-12-26,71656.25,55788.75,29.5,902109.9999999999,830453.7499999999,192284.1006412506,136495.3506412506
26,2018-12-27,81049.75,58629.5,29.7,908225.9999999999,827176.2499999999,192284.1006412506,133654.6006412506
27,2018-12-28,83314.25,58633.0,28.6,874587.9999999999,791273.7499999999,192284.1006412506,133651.1006412506
28,2018-12-29,80233.5,59632.75,29.8,911283.9999999999,831050.4999999999,192284.1006412506,132651.3506412506
29,2018-12-30,82141.0,59751.0,27.9,853182.0,771041.0,192284.1006412506,132533.1006412506
30,2018-12-31,86378.75,59647.5,28.4,868471.9999999999,782093.2499999999,192284.1006412506,132636.6006412506
31,2019-01-01,81552.25,59093.75,30.3,926573.9999999999,845021.7499999999,192284.1006412506,133190.3506412506
32,2019-01-02,89217.25,61073.25,28.3,865413.9999999999,776196.7499999999,192284.1006412506,131210.8506412506
33,2019-01-03,90541.75,62844.5,18.8,574904.0,484362.25,192284.1006412506,129439.60064125061
34,2019-01-04,90777.5,62004.25,28.9,883761.9999999999,792984.4999999999,192284.1006412506,130279.85064125061
35,2019-01-05,86080.0,61238.0,26.4,807312.0,721232.0,192284.1006412506,131046.10064125061
36,2019-01-06,85484.0,61776.25,24.7,755326.0,669842.0,192284.1006412506,130507.85064125061
37,2019-01-07,95019.75,61487.0,13.6,415888.0,320868.25,192284.1006412506,130797.10064125061
38,2019-01-08,89575.0,64452.0,16.7,510685.99999999994,421110.99999999994,192284.1006412506,127832.10064125061
39,2019-01-09,92187.25,65506.0,14.8,452583.99999999994,360396.74999999994,192284.1006412506,126778.10064125061
40,2019-01-10,91252.0,65098.0,19.4,593252.0,502000.0,192284.1006412506,127186.10064125061
41,2019-01-11,89531.0,63118.5,27.9,853182.0,763651.0,192284.1006412506,129165.60064125061
42,2019-01-12,79989.25,62237.25,29.8,911283.9999999999,831294.7499999999,192284.1006412506,130046.85064125061
43,2019-01-13,80440.25,63208.0,27.7,847066.0,766625.75,192284.1006412506,129076.10064125061
44,2019-01-14,91596.75,65605.25,28.6,874587.9999999999,782991.2499999999,192284.1006412506,126678.85064125061
45,2019-01-15,93123.75,66572.25,27.9,853182.0,760058.25,192284.1006412506,125711.85064125061
46,2019-01-16,94882.25,67570.25,30.9,944921.9999999999,850039.7499999999,192284.1006412506,124713.85064125061
47,2019-01-17,94225.25,67121.25,28.5,871529.9999999999,777304.7499999999,192284.1006412506,125162.85064125061
48,2019-01-18,94015.0,66800.0,27.5,840950.0,746935.0,192284.1006412506,125484.10064125061
49,2019-01-19,87321.0,66212.75,26.2,801196.0,713875.0,192284.1006412506,126071.35064125061
50,2019-01-20,85907.75,67018.5,27.5,840950.0,755042.25,192284.1006412506,125265.60064125061
51,2019-01-21,98492.25,68412.25,26.1,798138.0,699645.75,192284.1006412506,123871.85064125061
52,2019-01-22,98294.5,69475.25,26.4,807312.0,709017.5,192284.1006412506,122808.85064125061
53,2019-01-23,100130.75,69552.75,28.2,862355.9999999999,762225.2499999999,192284.1006412506,122731.35064125061
54,2019-01-24,100592.0,71250.0,29.4,899051.9999999999,798459.9999999999,192284.1006412506,121034.10064125061
55,2019-01-25,101573.25,69662.5,25.2,770616.0,669042.75,192284.1006412506,122621.60064125061
56,2019-01-26,88296.75,65487.25,26.6,813428.0,725131.25,192284.1006412506,126796.85064125061
57,2019-01-27,84695.75,65877.5,29.7,908225.9999999999,823530.2499999999,192284.1006412506,126406.60064125061
58,2019-01-28,88108.0,67236.75,28.9,883761.9999999999,795653.9999999999,192284.1006412506,125047.35064125061
59,2019-01-29,97558.75,68190.75,26.6,813428.0,715869.25,192284.1006412506,124093.35064125061
60,2019-01-30,98011.0,68129.5,25.2,770616.0,672605.0,192284.1006412506,124154.60064125061
61,2019-01-31,98018.5,68770.75,26.3,804254.0,706235.5,192284.1006412506,123513.35064125061
62,2019-02-01,95425.0,65947.5,25.0,764500.0,669075.0,192284.1006412506,126336.60064125061
63,2019-02-02,84781.25,63197.75,24.1,736978.0,652196.75,192284.1006412506,129086.35064125061
64,2019-02-03,81762.25,62104.25,19.7,602426.0,520663.75,192284.1006412506,130179.85064125061
65,2019-02-04,90649.5,63814.0,22.6,691108.0,600458.5,192284.1006412506,128470.10064125061
