,Date,Day_demand,Night_demand,Solar_exposure,Production,day_net,Storage_level_end_of_day,Storage_level_end_of_night
0,2018-12-01,59488.0,35507.25,30.8,684992.0,625504.0,166310.546875,130803.296875
1,2018-12-02,52192.0,35087.25,18.9,420336.0,368144.0,166310.546875,131223.296875
2,2018-12-03,67558.0,37482.25,13.4,298016.0,230458.0,166310.546875,128828.296875
3,2018-12-04,69650.5,38505.25,28.2,627168.0,557517.5,166310.546875,127805.296875
4,2018-12-05,71196.0,36112.25,31.1,691664.0,620468.0,166310.546875,130198.296875
5,2018-12-06,87744.75,42148.5,31.3,696112.0,608367.25,166310.546875,124162.046875
6,2018-12-07,108036.75,44154.5,27.1,602704.0,494667.25,166310.546875,122156.046875
7,2018-12-08,78173.5,34817.25,11.0,244639.99999999997,166466.49999999997,166310.546875,131493.296875
8,2018-12-09,63886.5,35106.25,11.8,262432.0,198545.5,166310.546875,131204.296875
9,2018-12-10,71683.25,35008.5,28.5,633840.0,562156.75,166310.546875,131302.046875
10,2018-12-11,74572.0,36197.0,31.6,702784.0,628212.0,166310.546875,130113.546875
11,2018-12-12,88685.75,38108.75,29.4,653856.0,565170.25,166310.546875,128201.796875
12,2018-12-13,74983.0,33977.0,6.0,133440.0,58457.0,166310.546875,132333.546875
13,2018-12-14,72020.75,34458.75,13.7,304688.0,232667.25,166310.546875,131851.796875
14,2018-12-15,64742.75,34092.0,17.5,389200.0,324457.25,166310.546875,132218.546875
15,2018-12-16,61337.25,34355.0,16.3,362512.0,301174.75,166310.546875,131955.546875
16,2018-12-17,73727.25,35807.0,23.2,515967.99999999994,442240.74999999994,166310.546875,130503.546875
17,2018-12-18,73279.5,36667.75,21.1,469263.99999999994,395984.49999999994,166310.546875,129642.796875
18,2018-12-19,78376.5,37413.5,16.6,369184.00000000006,290807.50000000006,166310.546875,128897.046875
19,2018-12-20,72069.75,34109.25,14.8,329152.0,257082.25,166310.546875,132201.296875
20,2018-12-21,64986.75,32564.0,9.6,213504.0,148517.25,166310.546875,133746.546875
21,2018-12-22,56292.25,33088.25,27.8,618272.0,561979.75,166310.546875,133222.296875
22,2018-12-23,58065.5,34111.0,32.3,718352.0,660286.5,166310.546875,132199.546875
23,2018-12-24,73597.25,35461.0,32.3,718352.0,644754.75,166310.546875,130849.546875
24,2018-12-25,61510.0,32162.25,32.2,716128.0000000001,654618.0000000001,166310.546875,134148.296875
25,2018-12-26,63163.75,35097.0,32.3,718352.0,655188.25,166310.546875,131213.546875
26,2018-12-27,88045.5,39712.5,29.3,651632.0,563586.5,166310.546875,126598.046875
